Deployed_Carts,Total_Orders,Store_ID
10,2075,prod-amber-6
10,3161,prod-amber-7
9,1650,prod-amber-8
10,2787,prod-amber-9
10,2718,prod-cobalt-16
20,3027,prod-cobalt-17
10,2901,prod-cobalt-18
25,3581,prod-cobalt-19
20,5731,prod-cobalt-20
15,2950,prod-cobalt-21
10,2365,prod-cobalt-22
10,2605,prod-cobalt-23
15,2546,prod-cobalt-24
20,4805,prod-cobalt-25
20,2352,prod-cobalt-26
10,2381,prod-cobalt-27
6,1209,prod-cobalt-28
30,5857,prod-cobalt-29
14,2898,prod-cobalt-30
30,6520,prod-cobalt-31
10,2151,prod-cobalt-32
20,3931,prod-cobalt-33
10,2931,prod-cobalt-34
10,2191,prod-cobalt-35
40,5941,prod-cobalt-36
20,3403,prod-cobalt-37
30,4836,prod-cobalt-45
10,684,prod-indigo-1
20,1531,prod-indigo-2
10,1490,prod-indigo-4
10,2186,prod-marigold-4
10,2876,prod-marigold-5
12,1980,prod-marigold-6
10,2254,prod-marigold-7
10,2241,prod-marigold-8
